Object Type	SUBDATA Allowed	Key/Required Fields	Variable Name	Concise Variable Name	Type of Variable	Description
			CustomExpressionStr		String	'Any number of string expressions may be defined for an object.  This represents String Expression 1 It will be blank if no string expression specified'
			CustomExpressionStr:1		String	'Any number of string expressions may be defined for an object.  This represents String Expression 2 It will be blank if no string expression specified'
		<	CustomInteger		Integer	'The user may specify any number of custom integers for each object type.  This represents custom integer value 1'
		<	CustomInteger:1		Integer	'The user may specify any number of custom integers for each object type.  This represents custom integer value 2'
		<	CustomInteger:2		Integer	'The user may specify any number of custom integers for each object type.  This represents custom integer value 3'
		<	CustomInteger:3		Integer	'The user may specify any number of custom integers for each object type.  This represents custom integer value 4'
		<	CustomInteger:4		Integer	'The user may specify any number of custom integers for each object type.  This represents custom integer value 5'
		<	CustomSingle		Real	'The user may specify any number of custom floating points for each object type.  This represents custom floating point value 1'
		<	CustomSingle:1		Real	'The user may specify any number of custom floating points for each object type.  This represents custom floating point value 2'
		<	CustomSingle:2		Real	'The user may specify any number of custom floating points for each object type.  This represents custom floating point value 3'
		<	CustomSingle:3		Real	'The user may specify any number of custom floating points for each object type.  This represents custom floating point value 4'
		<	CustomSingle:4		Real	'The user may specify any number of custom floating points for each object type.  This represents custom floating point value 5'
		<	CustomString		String	'The user may specify any number of custom strings for each object type.  This represents custom string value 1'
		<	CustomString:1		String	'The user may specify any number of custom strings for each object type.  This represents custom string value 2'
		<	CustomString:2		String	'The user may specify any number of custom strings for each object type.  This represents custom string value 3'
		<	CustomString:3		String	'The user may specify any number of custom strings for each object type.  This represents custom string value 4'
		<	CustomString:4		String	'The user may specify any number of custom strings for each object type.  This represents custom string value 5'
			DevOwnerDefault		String	'Owner Default Is Used'
			InOutage		String	'Scheduled Actions\In Outage?'
			Label		String	'This field is when reading from an auxiliary file (or pasting from a spreadsheet).  The label field will automatically be used as the identifying field for the object.  When shown in the user interface, the field will always shown the primary label'
			LabelAppend		String	'A write-only field which appends a new label to the current list'
		*4B*	LineCircuit	Circuit	String	'Circuit'
			LineStatus	StatusPri	String	'Status of the branch (Open or Closed) Primary'
			LineStatus:1	StatusSec	String	'Status of the branch (Open or Closed) Secondary'
			LineStatus:2	StatusTer	String	'Status of the branch (Open or Closed) Tertiary'
			MVAR3W	MvarPri	Real	'Mvar Primary'
			MVAR3W:1	MvarSec	Real	'Mvar Secondary'
			MVAR3W:2	MvarTer	Real	'Mvar Tertiary'
			MW3W	MWPri	Real	'MW Primary'
			MW3W:1	MWSec	Real	'MW Secondary'
			MW3W:2	MWTer	Real	'MW Tertiary'
		**	NomVolt3W	NomkVPri	Real	'Nominal Voltage Primary'
		**	NomVolt3W:1	NomkVSec	Real	'Nominal Voltage Secondary'
		**	NomVolt3W:2	NomkVTer	Real	'Nominal Voltage Tertiary'
			ObjectID		String	'When writing out this field uses option key fields to use in SUBDATA Section to identify the object either by primary, secondary, or label identifier.  When reading from an AUX file we will attempt to use any of these identifiers to identify the object'
		<	ObjectMemo		String	'One custom memo may also be specified for each object.  This respresents multiple lines of text and can be seen on many dialogs'
			OwnerName		String	'Owner Name  1'
			OwnerName:1		String	'Owner Name  2'
			OwnerName:2		String	'Owner Name  3'
			OwnerName:3		String	'Owner Name  4'
			OwnerNum		Integer	'Owner Number  1'
			OwnerNum:1		Integer	'Owner Number  2'
			OwnerNum:2		Integer	'Owner Number  3'
			OwnerNum:3		Integer	'Owner Number  4'
			OwnPercent		Real	'Owner  1 Percent Owned'
			OwnPercent:1		Real	'Owner  2 Percent Owned'
			OwnPercent:2		Real	'Owner  3 Percent Owned'
			OwnPercent:3		Real	'Owner  4 Percent Owned'
		**	R3W	RPri	Real	'R Primary-Secondary'
		**	R3W:1	RSec	Real	'R Secondary-Tertiary'
		**	R3W:2	RTer	Real	'R Tertiary-Primary'
			Selected		String	'YES or NO field which displays if record has been selected.  The field can be used in combination with numerous script commands in auxiliary files.  Is also used to help choose records in the user interface sometimes'
			SubID		String	'Substation ID string.  This is just an extra identification string that may be different than the name Primary'
			SubID:1		String	'Substation ID string.  This is just an extra identification string that may be different than the name Secondary'
			SubID:2		String	'Substation ID string.  This is just an extra identification string that may be different than the name Tertiary'
			SubID:3		String	'Substation ID string.  This is just an extra identification string that may be different than the name Star'
			SubName		String	'Substation Name Primary'
			SubName:1		String	'Substation Name Secondary'
			SubName:2		String	'Substation Name Tertiary'
			SubName:3		String	'Substation Name Star'
			SubNum		Integer	'Substation Number Primary'
			SubNum:1		Integer	'Substation Number Secondary'
			SubNum:2		Integer	'Substation Number Tertiary'
			SubNum:3		Integer	'Substation Number Star'
		**	Tap3W	OffTapPri	Real	'Tap Variable'
		**	Tap3W:1	TapPri	Real	'Tap Primary'
		**	Tap3W:2	TapSec	Real	'Tap Secondary'
		**	Tap3W:3	TapTer	Real	'Tap Tertiary'
		**	X3W	XPri	Real	'X Primary-Secondary'
		**	X3W:1	XSec	Real	'X Secondary-Tertiary'
		**	X3W:2	XTer	Real	'X Tertiary-Primary'
			XFMVABase		Real	'MVA BasePrimary-Secondary'
			XFMVABase:1		Real	'MVA BaseSecondary-Tertiary'
			XFMVABase:2		Real	'MVA BaseTertiary-Primary'
			ZoneName		String	'Name of the zone Primary'
			ZoneName:1		String	'Name of the zone Secondary'
			ZoneName:2		String	'Name of the zone Tertiary'
			ZoneName:3		String	'Name of the zone Star'
			ZoneNum		Integer	'Number of the Zone Primary'
			ZoneNum:1		Integer	'Number of the Zone Secondary'
			ZoneNum:2		Integer	'Number of the Zone Tertiary'
			ZoneNum:3		Integer	'Number of the Zone Star'
AerodynamicModel_WTGAR_A
			AllLabels		String	'This represents a comma-separated list of the label identifiers for this object.  If labels are specified they can be used to input data into the model instead of using the key or secondary key fields'
			BusName		String	'Name of the bus'
		*A*	BusName_NomVolt		String	'Name_Nominal kV of the bus'
		*1*	BusNum		Integer	'Number of the bus'
		*2B*	GenID		String	'2 character generator identification field.  Used to identify multiple generators at a single bus'
			GenMVABase		Real	'Generator's MVA base'
			Label		String	'This field is when reading from an auxiliary file (or pasting from a spreadsheet).  The label field will automatically be used as the identifying field for the object.  When shown in the user interface, the field will always shown the primary label'
			ObjectType		String	'Type of machine model'
			Selected		String	'YES or NO field which displays if record has been selected.  The field can be used in combination with numerous script commands in auxiliary files.  Is also used to help choose records in the user interface sometimes'
			SOData		String	'Name of the Default Set data that matches all the parameters for this device'
			Theta		Real	'Theta: Initial Pitch Angle'
			TSDeviceStatus		String	'Status of the transient stability device'
			TSFullSupport		String	'Fully Supported'
			TSKa		Real	'Ka: Aero-dynamic gain factor'
			TSMWCap		Real	'MVABase: MVA Base'
			TSSubIntervals		Integer	'Specify the number of sub-interval integration steps to use. A blank value will cause Simulator to use a default for that model type.  Normally a model will not use sub-interval integration. Values must be either blank, 1, 2, 4, 8, 16, 32, 64 or 128'
ALARMOPTIONS
			AlarmBackgroundFading		String	'Do alarm background fading'
			AlarmFadeColor		Integer	'FLD::ALARMOPTIONS_AlarmFadeColor'
			AlarmFadeColor:1		Integer	'FLD::ALARMOPTIONS_AlarmFadeColor:1'
			CaseInfoAuxDataFormat		String	'AUX Data Format'
			CustomExpression		Real	'Any number of expressions may be defined for an object.  This represents Expression 1 It will be blank if no expression specified'
			CustomExpression:1		Real	'Any number of expressions may be defined for an object.  This represents Expression 2 It will be blank if no expression specified'
			CustomExpressionStr		String	'Any number of string expressions may be defined for an object.  This represents String Expression 1 It will be blank if no string expression specified'
			CustomExpressionStr:1		String	'Any number of string expressions may be defined for an object.  This represents String Expression 2 It will be blank if no string expression specified'
			MetaThreshold		Integer	'Meta Threshold'
			MetaThresholdEnabled		String	'Meta Threshold Enabled'
			ObjectID		String	'When writing out this field uses option key fields to use in SUBDATA Section to identify the object either by primary, secondary, or label identifier.  When reading from an AUX file we will attempt to use any of these identifiers to identify the object'
			RTAlarmLog		String	'FLD::ALARMOPTIONS_RTAlarmLog'
			RTAlarmLog:1		String	'FLD::ALARMOPTIONS_RTAlarmLog:1'
			Selected		String	'YES or NO field which displays if record has been selected.  The field can be used in combination with numerous script commands in auxiliary files.  Is also used to help choose records in the user interface sometimes'
Area
			3WXFNum		Integer	'Number of three-winding transformers that connect to the group'
			AggrMVAOverload		Real	'Contingency\Aggregate MVA Overload Sum'
			AggrPercentOverload		Real	'Contingency\Aggregate Percent Overload Sum'
		<	AllLabels		String	'This represents a comma-separated list of the label identifiers for this object.  If labels are specified they can be used to input data into the model instead of using the key or secondary key fields'
			AreaEDIncludeLossPF		String	'Set this value to YES to include penalty factors when performing economic dispatch on this area'
			AreaInjGrpSlackEnforceAGC		String	'Set to YES to allow only generators and loads with AGC=YES to move when using Injection Group Area Slack Control'
			AreaInjGrpSlackEnforcePosLoad		String	'Set to YES to force loads to remain positive when using Injection Group Area Slack Control'
			AreaInjGrpSlackPowerFactor		Real	'Power factor to maintain when adjusting loads when using Injection Group Area Slack Control'
			AreaLPOPFUseMargLoss		String	'Set this value to YES to include the effect of marginal losses (via penalty factors) on the OPF dispatch of this area'
			AreaLPUnenforceable		String	'OPF: Area ACE is Unenforceable'
		*A*	AreaName	Name	String	'The name of the area'
		*1*	AreaNum	Number	Integer	'The number of the area'
			AreaNumberOf		Integer	'Number of areas with buses that overlap the group'
			AreaUnSpecifiedStudyMW	ExportUnspecified	Real	'Total amount of export from the area which is not specifically set to another area (note: these values must sum to zero across the case)'
			BGACE		Real	'Area control error (ACE) is equal to the difference between the scheduled and actual interchange'
			BGAGC		String	'Area generation control (AGC) status. This is type of control used to move generation in this area. (Off AGC, Part. AGC, ED, Area Slack, IG Slack, or OPF)'
			BGAutoSS		String	'Field indicating whether or not automatic shunt control is enabled for the area'
			BGAutoXF		String	'Field indicating whether or not automatic transformer control is enabled for the area'
			BGAvgGenericSensP		Real	'Sensitivity P (avg)'
			BGAVGGenericSensQ		Real	'Sensitivity Q (avg)'
			BGAVGPUVolt		Real	'PU Volt (avg)'
			BGAvgVoltDeg		Real	'Angle (deg: avg)'
			BGCalcField		Real	'No Calculated Fields defined yet.  To define a calculated field, browse to "Case Information and Auxiliary\Calculated Fields" '
			BGDisplayFilter		String	'Set this value to YES to signify that elements in this area or zone should be shown in case information displays'
			BGEquiv		String	'Set this value to STUDY to have it included in an equivalent. Set to EXTERNAL to remove it when creating the equivalent'
			BGGenAGCRangeDown		Real	'Maximum amount of generation decrease possible before all online, AGCable generation reaches its minimum output'
			BGGenAGCRangeUp		Real	'Maximum amount of generation increase possible before all online, AGCable generation reaches its maximum output'
			BGGenericSensP		Real	'The real power sensitivity for the area (used in the TLR, line flow, and voltage sensitivity calculations)'
			BGGenMVR	GenMvar	Real	'Sum of generator Mvars in the area'
			BGGenMVRRangeDown		Real	'Sum of the generator Mvar reserves (down)'
			BGGenMVRRangeUp		Real	'Sum of the generator Mvar reserves (up)'
			BGGenMW		Real	'Sum of generator MWs'
			BGGenPart		Real	'Sum of generator participation factors'
			BGGenPF		Real	'Power Factor for Net Generation'
			BGHourCost		Real	'The sum of generator hourly costs in the area'
			BGIntMVR		Real	'The amount of actual Mvar interchange leaving the area (sum of tie-line Mvar flows)'
			BGIntMW		Real	'The amount of actual MW interchange leaving the area (sum of tie-line MW flows)'
			BGLambda		Real	'The area lambda (this value is only calculated when using economic dispatch ED)'
			BGLambdaAvg		Real	'The average bus marginal cost'
			BGLambdaMax		Real	'The maximum bus marginal cost'
			BGLambdaMin		Real	'The minimum bus marginal cost'
			BGLambdaSD		Real	'The standard deviation for bus marginal costs '
			BGLimCount		Integer	'Total Violations'
			BGLimCount:1		Integer	'Bus Violations'
			BGLimCount:2		Integer	'Line Violations'
			BGLimCount:3		Integer	'Interface Violations'
			BGLoadMVR	LoadMvar	Real	'Sum of load Mvars'
			BGLoadMW	LoadMW	Real	'Sum of load MWs'
			BGLoadPF		Real	'Power Factor for Net Load'
			BGLossMVR		Real	'Sum of Mvar losses'
			BGLossMVR:1		Real	'Sum of Mvar losses (series I^2*X only) '
			BGLossMW		Real	'Sum of MW losses'
			BGLossMW:1		Real	'Sum of MW losses (series I^2*R only) '
			BGMAvgVoltRad		Real	'Average bus angle in radians'
			BGMaxBusNum		Integer	'The highest bus number'
			BGMaxGenericSensP		Real	'The maximum bus Sensitivity P'
			BGMaxGenericSensQ		Real	'The maximum bus Sensitivity Q'
			BGMaxMagGenericSensP		Real	'The maximum magnitude of a bus' Sensitivity P'
			BGMaxNominalKV	NomkVMax	Real	'The maximum bus nominal kV'
			BGMaxPUVolt		Real	'The maximum bus per unit voltage'
			BGMaxVoltDeg		Real	'The maximum angle in degrees'
			BGMaxVoltRad		Real	'The maximum angle in radians'
			BGMinBusNum		Integer	'The lowest bus number'
			BGMinGenericSensP		Real	'The minimum bus Sensitivity P'
			BGMinGenericSensQ		Real	'The minimum bus Sensitivity Q'
			BGMinNominalKV	NomkVMin	Real	'The minimum bus nominal kV'
			BGMinPUVolt		Real	'The minimum bus per unit voltage'
			BGMinVoltDeg		Real	'The minimum angle in degrees'
			BGMinVoltRad		Real	'The Minimum angle in radians'
			BGName		String	'The name of the group'
			BGNegSpinReserve		Real	'Maximum amount of generation decrease possible before all online generation reaches its minimum output'
			BGNetMVA		Real	'MVA based on the sum of all generator, load, bus shunt, and switched shunt MW and Mvar injections'
			BGNetMVR		Real	'Sum of all generator, load, bus shunt, and switched shunt Mvar injections'
			BGNetMW		Real	'Sum of all generator, load, bus shunt, and switched shunt MW injections'
			BGNIslands		Integer	'# Islands'
			BGNominalkvRange		Real	'Nominal kV Range of all buses'
			BGNum		Integer	'The number identifier'
			BGNumBuses		Integer	'Number of buses in the group'
			BGPosSpinReserve		Real	'Maximum amount of generation increase possible before all online generation reaches its maximum output'
			BGPTDFGen		Real	'When calculating PTDF values using areas, zones, or super areas as a buyer or seller, this will be the total amount of generator participation used for the area'
			BGPTDFLosses		Real	'This represents the additional losses generated on the branchs in this group as a percentage of the transfer'
			BGReportLimits	MonitorLimits	String	'Set to NO to not monitor elements (buses, branches or interfaces)'
			BGReportLimMaxKV	MonitorMaxkV	Real	'Only branches and buses which have a nominal kV level below this value will be monitored'
			BGReportLimMinKV	MonitorMinkV	Real	'Only branches and buses which have a nominal kV level above this value will be monitored'
			BGScale		String	'Set the value to YES to toggle the BusScale value for all buses in the area to YES. Same for NO'
			BGShuntMVR		Real	'This is the total amount of shunt Mvar (switched + bus + line shunts)'
			BGShuntMVR:1		Real	'This is the total amount of switched shunt Mvar'
			BGShuntMVR:2		Real	'This is the total amount of bus shunt Mvar'
			BGShuntMVR:3		Real	'This is the total amount of line shunt Mvar'
			BGShuntMW		Real	'This is the total amount of shunt MW (switched + bus + line shunts)'
			BGShuntMW:1		Real	'This is the total amount of switched shunt MW'
			BGShuntMW:2		Real	'This is the total amount of bus shunt MW'
			BGShuntMW:3		Real	'This is the total amount of line shunt MW'
			BGTotSchedMW		Real	'Interchange\Total Scheduled MW'
			BranchNum		Integer	'Number of branches that connect to the group'
			BranchNum:1		Integer	'Number of series capacitors that connect to the group'
			BranchNum:2		Integer	'Number of tap changing transformers controlling voltage that connect to the group'
			BranchNum:3		Integer	'Number of tap changing transformers controlling Mvar flow that connect to the group'
			BranchNum:4		Integer	'Number of phase shifting transformers that connect to the group'
			BranchNum:5		Integer	'Number of breakers that connect to the group'
			BranchNum:6		Integer	'Number of disconnects that connect to the group'
			BranchNum:7		Integer	'Number of ZBRs that connect to the group'
			BranchNum:8		Integer	'Number of Fuses that connect to the group'
			BranchNum:9		Integer	'Number of Load Break Disconnects that connect to the group'
			BranchNum:10		Integer	'Number of Ground Disconnects that connect to the group'
			BusLoadNum		Integer	'Number of loads that belong to the group'
			BusMCMW		Real	'The weighted-average bus marginal cost in the area (weighted by the load MW at each bus)'
			BusMismatchP		Real	'Sum of the MW mismatch at the buses'
			BusMismatchQ		Real	'Sum of the Mvar mismatch at the buses'
			BusMismatchS		Real	'Total apparent power mismatch at the buses'
			BusSlack		String	'The bus which serves as the area slack bus when the area is on area slack control (you may enter either the name or the number when choosing this bus)'
			ContainedInDiffFlowsBC		String	'Indicates if an object is in the base case that was set with the difference flows.  If this field is YES, this object is contained in both the present case and the base case.  If this field is NO, this object is only in the present case.'
			ConvergenceTol		Real	'The convergence tolerance for the ACE value when performing AGC control'
			CTGMakeUpGen		Real	'The area participation factor used when performing island-based AGC (must also choose the option to use this value)'
			CustomExpression		Real	'Any number of expressions may be defined for an object.  This represents Expression 1 It will be blank if no expression specified'
			CustomExpression:1		Real	'Any number of expressions may be defined for an object.  This represents Expression 2 It will be blank if no expression specified'
			CustomExpressionStr		String	'Any number of string expressions may be defined for an object.  This represents String Expression 1 It will be blank if no string expression specified'
			CustomExpressionStr:1		String	'Any number of string expressions may be defined for an object.  This represents String Expression 2 It will be blank if no string expression specified'
		<	CustomInteger		Integer	'The user may specify any number of custom integers for each object type.  This represents custom integer value 1'
		<	CustomInteger:1		Integer	'The user may specify any number of custom integers for each object type.  This represents custom integer value 2'
		<	CustomInteger:2		Integer	'The user may specify any number of custom integers for each object type.  This represents custom integer value 3'
		<	CustomInteger:3		Integer	'The user may specify any number of custom integers for each object type.  This represents custom integer value 4'
		<	CustomInteger:4		Integer	'The user may specify any number of custom integers for each object type.  This represents custom integer value 5'
		<	CustomSingle		Real	'The user may specify any number of custom floating points for each object type.  This represents custom floating point value 1'
		<	CustomSingle:1		Real	'The user may specify any number of custom floating points for each object type.  This represents custom floating point value 2'
		<	CustomSingle:2		Real	'The user may specify any number of custom floating points for each object type.  This represents custom floating point value 3'
		<	CustomSingle:3		Real	'The user may specify any number of custom floating points for each object type.  This represents custom floating point value 4'
		<	CustomSingle:4		Real	'The user may specify any number of custom floating points for each object type.  This represents custom floating point value 5'
		<	CustomString		String	'The user may specify any number of custom strings for each object type.  This represents custom string value 1'
		<	CustomString:1		String	'The user may specify any number of custom strings for each object type.  This represents custom string value 2'
		<	CustomString:2		String	'The user may specify any number of custom strings for each object type.  This represents custom string value 3'
		<	CustomString:3		String	'The user may specify any number of custom strings for each object type.  This represents custom string value 4'
		<	CustomString:4		String	'The user may specify any number of custom strings for each object type.  This represents custom string value 5'
			DCLineNum		Integer	'Number of two-terminal DC lines that connect to the group'
			DCLossMultiplier		Real	'This field is for changing bus related values only.  Changing this value will change the DC Approximation Loss Multiplier for all buses in this group.'
			EnforceGenMWLimits		String	'Change this to NO to not enforce generator limits in this area (note: when using ED or OPF control, limits are always enforced)'
			Frequency		Real	'Average bus frequency over all buses in the group'
			GenLMPProfitScaled		Real	'Profit $/hr (Scaled)'
			GenLMPProfitUnscaled		Real	'Profit $/hr'
			GenMVRMax	GenMvarMax	Real	'Sum of the generator maximum Mvar outputs (regardless of status)'
			GenMVRMin	GenMvarMin	Real	'Sum of the generator minimum Mvar outputs (regardless of status)'
			GenMW		Real	'The amount of MW generation at the area slack bus'
			GenMWMax		Real	'Sum of the generator maximum MW outputs (regardless of status)'
			GenMWMax:1	SlackGenMWMax	Real	'The maximum MW generation at the area slack bus'
			GenMWMin	GenMWMin	Real	'Sum of the generator minimum MW outputs (regardless of status)'
			GenNum		Integer	'Number of generators that belong to the group'
			GenProdCost		Real	'Cost $/Hr (generation only)'
			GenQPRatio		Real	'Ratio of the generator Mvar sum to the generator MW sum'
			GICDistXFDefaultConfig		String	'Default configuration on the transmission side for transmission to distribution transformers'
			GICIgnoreLosses		String	'In the AC power flow, the GIC DC currents calculated are converted into a constant current Mvar loss on the transformer.  Set this value to YES to ignore the GIC induced reactive power losses on the transformers in this area.  A transformer will ignore GIC loss if either terminal bus is in an area flagged YES.'
			GICIgnoreVolts		String	'A geomagnetic disturbance is simulated by modeling the induced DC voltages in series with transmission lines.  Set this value to YES to ignore all DC voltages for branches in this area.  This DC voltage will will not be modeled if either terminal bus of the branch is in an area flagged YES.'
			GICQLosses		Real	'Sum of the Mvar losses created by the geomagnetically induced currents in the area.'
			GICTransMinKV		Real	'Voltage level (in kV) for dividing between transmission and distribution systems'
			GICTransXFDefaultConfig		String	'Default configuration on the distribution side for transmission to distribution transformers'
			GICUseDefaultTransMinKV		String	'Use the case default for the voltage dividing transmission from distribution'
			InjGrpName		String	'Name of the injection group to use for Injection Group Area Slack Control'
			InjGrpNum		Integer	'Number of injection groups that have participation points that belong to the group'
			InOutage		String	'Scheduled Actions\In Outage?'
			IslandNumber		Integer	'Number of viable islands that are contained in the group'
			Label		String	'This field is when reading from an auxiliary file (or pasting from a spreadsheet).  The label field will automatically be used as the identifying field for the object.  When shown in the user interface, the field will always shown the primary label'
			LabelAppend		String	'A write-only field which appends a new label to the current list'
			LineMVR		Real	'The amount of Mvar flow going through (sum of the tie-line flows into the area with the positive generation, load, bus shunt, and switched shunt injections)'
			LineMW		Real	'The amount of MW flow going through (sum of the tie-line flows into the area with the positive generation, load, bus shunt, and switched shunt injections)'
			LineShuntNum		Integer	'Number of line shunts that are in the group'
			MargCostReference		String	'Cost of Energy, Losses, and Congestion Reference Type (Existing, Load, Injection Group, or Bus)'
			MargCostReference:1		String	'Cost of Energy, Losses, and Congestion Reference String (either the bus num/name or injection group name)'
			MSLineNum		Integer	'Number of multi-section lines that connect to the group'
			MTDCNum		Integer	'Number of multi-terminal DC line networks that connect to the group'
			MWDistance		Real	'MW*Distance'
			NumberOfConnections		Integer	'Sum of the Number of connections field over all buses'
			ObjectID		String	'When writing out this field uses option key fields to use in SUBDATA Section to identify the object either by primary, secondary, or label identifier.  When reading from an AUX file we will attempt to use any of these identifiers to identify the object'
		<	ObjectMemo		String	'One custom memo may also be specified for each object.  This respresents multiple lines of text and can be seen on many dialogs'
			OPFAreaBusAngle		String	'OPF: Set this to YES to allow enforcement of bus angles for buses in this area during an OPF solution.'
			OPFAreaDCLineMW		String	'Change this to YES to include dc lines as controls in the OPF solution in this area'
			OPFAreaDFACTSControl		String	'Change this to YES to include D-FACTS devices as controls in the OPF solution in this area'
			OPFAreaInterfaceLim		String	'Change this to YES to enforce the limit of interfaces in this area during the OPF'
			OPFAreaLineLim		String	'Change this to YES to enforce the limit of branches in this area during the OPF'
			OPFAreaLoadMW		String	'Change this to YES to include laod MW control in the OPF for loads in this area'
			OPFAreaMWMC		Real	'MW Marg. Cost for ACE Constraint in OPF'
			OPFAreaVoltLim		String	'OPF: Enforce Bus Voltage Limits (not supported yet)'
			OPFAreaXFPS		String	'Change this to YES to include phase shifter transformer control in the OPF solution in this area'
			OPFAreaXFTaps		String	'OPF: Control Transformer Tap Ratios (not supported yet)'
			PVCQPowerFactMult		Real	'When using injection group area slack control and adjusting load by maintaining a constant power factor, this is the factor that will be multiplied by the change in Mvar load after the change due to the constant power factor has been determined.  Set this factor to 1.0 to maintain Mvar load at a constant power factor.'
			SAName	SuperArea	String	'The name of the super area which this area belogns to (blank if none)'
			SchedValue		Real	'Load Scale MW Value'
			SchedValue:1		Real	'Load Scale Mvar Value'
			SchedValue:2		Real	'Load Scale MVA Value'
			Selected		String	'YES or NO field which displays if record has been selected.  The field can be used in combination with numerous script commands in auxiliary files.  Is also used to help choose records in the user interface sometimes'
			sgBGNDeadBus		Integer	'Number of dead buses in the group'
			SSMaxMVR		Real	'Sum of the switched shunt Mvar maximum'
			SSMinMVR		Real	'Sum of the switched shunt Mvar minimum'
			SSNum		Integer	'Number of switched shunts that belong to the group'
			SubNumberOf		Integer	'Number of substations with buses that overlap the group'
			TimeDomainSelected		String	'Time Selected'
			TSAreaGenAccP		Real	'Transient Stability\Results\Generator Accel MW Sum Area'
			TSAreaGenP		Real	'Transient Stability\Results\Gen MW Sum Area'
			TSAreaGenPMech		Real	'Transient Stability\Results\Generator Mech Input Sum Area'
			TSAreaGenQ		Real	'Transient Stability\Results\Gen Mvar Sum Area'
			TSAreaIntP		Real	'Transient Stability\Results\Interchange MW'
			TSAreaIntQ		Real	'Transient Stability\Results\Interchange Mvar'
			TSAreaLoadP		Real	'Transient Stability\Results\Load MW Sum Area'
			TSAreaLoadQ		Real	'Transient Stability\Results\Load Mvar Sum Area'
			TSH		Real	'Shows the sum of generators' active machine model's inertia on the system MVA base.'
			TSSaveAll		String	'Transient Stability\Save\Save All'
			TSSaveAreaGenAccP		String	'Transient Stability\Save\Generator Accel MW Sum Area'
			TSSaveAreaGenP		String	'Transient Stability\Save\Gen MW Sum Area'
			TSSaveAreaGenPMech		String	'Transient Stability\Save\Generator Mech Input Sum Area'
			TSSaveAreaGenQ		String	'Transient Stability\Save\Gen Mvar Sum Area'
			TSSaveAreaIntP		String	'Transient Stability\Save\Interchange MW'
			TSSaveAreaIntQ		String	'Transient Stability\Save\Interchange Mvar'
			TSSaveAreaLoadP		String	'Transient Stability\Save\Load MW Sum Area'
			TSSaveAreaLoadQ		String	'Transient Stability\Save\Load Mvar Sum Area'
			UseConstantPF		String	'Set to YES to keep the power factor constant when adjusting loads when using Injection Group Area Slack Control'
			ZoneName		String	'Zone Name'
			ZoneNum		Integer	'Zone Number'
			ZoneNumberOf		Integer	'Number of zones with buses that overlap the group'
AreaContingencyReserveBid
		*A*	AreaName		String	'The name of the area'
		*1*	AreaNum		Integer	'The number of the area'
		**	GenericCostMWh		Real	'$/MWh'
		*2B*	GenericMW		Real	'MW'
AreaOperatingReserveBid
		*A*	AreaName		String	'The name of the area'
		*1*	AreaNum		Integer	'The number of the area'
		**	GenericCostMWh		Real	'$/MWh'
		*2B*	GenericMW		Real	'MW'
AreaRegulatingReserveBid
